"Ukazatel,""Území"",""Roky"",""Druh dopravy"",""Hodnota"""
"Přepravené věci (tis. tun),""Česko"",""2000"",""Nákladní doprava celkem"",""523248.598"""
"Přepravené věci (tis. tun),""Česko"",""2000"",""Železniční doprava"",""98255"""
"Přepravené věci (tis. tun),""Česko"",""2000"",""Silniční doprava"",""414724.69"""
"Přepravené věci (tis. tun),""Česko"",""2000"",""Vnitrozemská vodní doprava"",""1906.846"""
"Přepravené věci (tis. tun),""Česko"",""2000"",""Letecká doprava"",""16.062"""
"Přepravené věci (tis. tun),""Česko"",""2000"",""Potrubní přeprava ropy"",""8346"""
"Přepravní výkon (mil. tkm),""Česko"",""2000"",""Nákladní doprava celkem"",""58954.032"""
"Přepravní výkon (mil. tkm),""Česko"",""2000"",""Železniční doprava"",""17496"""
"Přepravní výkon (mil. tkm),""Česko"",""2000"",""Silniční doprava"",""39036.061"""
"Přepravní výkon (mil. tkm),""Česko"",""2000"",""Vnitrozemská vodní doprava"",""772.214"""
"Přepravní výkon (mil. tkm),""Česko"",""2000"",""Letecká doprava"",""37.757"""
"Přepravní výkon (mil. tkm),""Česko"",""2000"",""Potrubní přeprava ropy"",""1612"""
"Přepravené věci (tis. tun),""Česko"",""2001"",""Nákladní doprava celkem"",""546500.89"""
"Přepravené věci (tis. tun),""Česko"",""2001"",""Železniční doprava"",""97218"""
"Přepravené věci (tis. tun),""Česko"",""2001"",""Silniční doprava"",""438682.547"""
"Přepravené věci (tis. tun),""Česko"",""2001"",""Vnitrozemská vodní doprava"",""1910.086"""
"Přepravené věci (tis. tun),""Česko"",""2001"",""Letecká doprava"",""16.257"""
"Přepravené věci (tis. tun),""Česko"",""2001"",""Potrubní přeprava ropy"",""8674"""
"Přepravní výkon (mil. tkm),""Česko"",""2001"",""Nákladní doprava celkem"",""59537.495"""
"Přepravní výkon (mil. tkm),""Česko"",""2001"",""Železniční doprava"",""16882"""
"Přepravní výkon (mil. tkm),""Česko"",""2001"",""Silniční doprava"",""40260.442"""
